step,accuracy,correct,total,checkpoint
0,0.517,517,1000,checkpoints/rule_none/rule_none/checkpoint-0
100,0.529,529,1000,checkpoints/rule_none/rule_none/checkpoint-100
200,0.542,542,1000,checkpoints/rule_none/rule_none/checkpoint-200
300,0.533,533,1000,checkpoints/rule_none/rule_none/checkpoint-300
400,0.527,527,1000,checkpoints/rule_none/rule_none/checkpoint-400
500,0.526,526,1000,checkpoints/rule_none/rule_none/checkpoint-500
600,0.537,537,1000,checkpoints/rule_none/rule_none/checkpoint-600
700,0.543,543,1000,checkpoints/rule_none/rule_none/checkpoint-700
800,0.532,532,1000,checkpoints/rule_none/rule_none/checkpoint-800
900,0.541,541,1000,checkpoints/rule_none/rule_none/checkpoint-900
1000,0.535,535,1000,checkpoints/rule_none/rule_none/checkpoint-1000
1200,0.55,550,1000,checkpoints/rule_none/rule_none/checkpoint-1200
1400,0.573,573,1000,checkpoints/rule_none/rule_none/checkpoint-1400
1500,0.556,556,1000,checkpoints/rule_none/rule_none/checkpoint-1500
1600,0.57,570,1000,checkpoints/rule_none/rule_none/checkpoint-1600
1800,0.561,561,1000,checkpoints/rule_none/rule_none/checkpoint-1800
2000,0.587,587,1000,checkpoints/rule_none/rule_none/checkpoint-2000
2200,0.591,591,1000,checkpoints/rule_none/rule_none/checkpoint-2200
2400,0.56,560,1000,checkpoints/rule_none/rule_none/checkpoint-2400
2500,0.573,573,1000,checkpoints/rule_none/rule_none/checkpoint-2500
2600,0.578,578,1000,checkpoints/rule_none/rule_none/checkpoint-2600
2800,0.575,575,1000,checkpoints/rule_none/rule_none/checkpoint-2800
3000,0.557,557,1000,checkpoints/rule_none/rule_none/checkpoint-3000
3200,0.602,602,1000,checkpoints/rule_none/rule_none/checkpoint-3200
3400,0.581,581,1000,checkpoints/rule_none/rule_none/checkpoint-3400
3500,0.585,585,1000,checkpoints/rule_none/rule_none/checkpoint-3500
3600,0.573,573,1000,checkpoints/rule_none/rule_none/checkpoint-3600
3800,0.586,586,1000,checkpoints/rule_none/rule_none/checkpoint-3800
4000,0.585,585,1000,checkpoints/rule_none/rule_none/checkpoint-4000
4200,0.581,581,1000,checkpoints/rule_none/rule_none/checkpoint-4200
4400,0.592,592,1000,checkpoints/rule_none/rule_none/checkpoint-4400
4500,0.582,582,1000,checkpoints/rule_none/rule_none/checkpoint-4500
4600,0.552,552,1000,checkpoints/rule_none/rule_none/checkpoint-4600
4800,0.558,558,1000,checkpoints/rule_none/rule_none/checkpoint-4800
5000,0.6,600,1000,checkpoints/rule_none/rule_none/checkpoint-5000
5200,0.593,593,1000,checkpoints/rule_none/rule_none/checkpoint-5200
5400,0.595,595,1000,checkpoints/rule_none/rule_none/checkpoint-5400
5600,0.589,589,1000,checkpoints/rule_none/rule_none/checkpoint-5600
5800,0.588,588,1000,checkpoints/rule_none/rule_none/checkpoint-5800
6000,0.583,583,1000,checkpoints/rule_none/rule_none/checkpoint-6000
6200,0.586,586,1000,checkpoints/rule_none/rule_none/checkpoint-6200
6400,0.565,565,1000,checkpoints/rule_none/rule_none/checkpoint-6400
6600,0.581,581,1000,checkpoints/rule_none/rule_none/checkpoint-6600
6800,0.577,577,1000,checkpoints/rule_none/rule_none/checkpoint-6800
7000,0.59,590,1000,checkpoints/rule_none/rule_none/checkpoint-7000
7200,0.587,587,1000,checkpoints/rule_none/rule_none/checkpoint-7200
7400,0.586,586,1000,checkpoints/rule_none/rule_none/checkpoint-7400
7600,0.589,589,1000,checkpoints/rule_none/rule_none/checkpoint-7600
7800,0.579,579,1000,checkpoints/rule_none/rule_none/checkpoint-7800
8000,0.577,577,1000,checkpoints/rule_none/rule_none/checkpoint-8000
8200,0.583,583,1000,checkpoints/rule_none/rule_none/checkpoint-8200
8400,0.589,589,1000,checkpoints/rule_none/rule_none/checkpoint-8400
8600,0.585,585,1000,checkpoints/rule_none/rule_none/checkpoint-8600
8800,0.587,587,1000,checkpoints/rule_none/rule_none/checkpoint-8800
9000,0.584,584,1000,checkpoints/rule_none/rule_none/checkpoint-9000
9200,0.586,586,1000,checkpoints/rule_none/rule_none/checkpoint-9200
9400,0.592,592,1000,checkpoints/rule_none/rule_none/checkpoint-9400
9600,0.589,589,1000,checkpoints/rule_none/rule_none/checkpoint-9600
9800,0.589,589,1000,checkpoints/rule_none/rule_none/checkpoint-9800
10000,0.588,588,1000,checkpoints/rule_none/rule_none/checkpoint-10000
