checkpoint,step,ppl,mean_nll,tokens
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-8200,8200,38.00465393066406,3.637708572163252,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-8400,8400,37.820377349853516,3.6328480078563214,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-8600,8600,37.85620880126953,3.6337949888782717,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-8800,8800,37.44465637207031,3.6228638919622793,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-9000,9000,37.246978759765625,3.6175709710448007,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-9200,9200,37.205257415771484,3.616449986100696,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-9400,9400,36.9995002746582,3.6109044033572806,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-9600,9600,36.98028564453125,3.6103849980670186,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-9800,9800,36.842735290527344,3.6066583633898768,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-10000,10000,36.77086639404297,3.6047059037434894,336774
