step,accuracy,correct,total,checkpoint
5800,0.993,993,1000,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-5800
6000,0.994,994,1000,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-6000
6200,0.992,992,1000,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-6200
6400,0.995,995,1000,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-6400
6600,0.995,995,1000,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-6600
6800,0.993,993,1000,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-6800
7000,0.994,994,1000,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-7000
7200,0.995,995,1000,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-7200
7400,0.994,994,1000,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-7400
7600,0.993,993,1000,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-7600
7800,0.992,992,1000,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-7800
8000,0.994,994,1000,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-8000
8200,0.994,994,1000,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-8200
8400,0.993,993,1000,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-8400
8600,0.993,993,1000,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-8600
8800,0.993,993,1000,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-8800
9000,0.994,994,1000,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-9000
9200,0.993,993,1000,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-9200
9400,0.993,993,1000,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-9400
9600,0.993,993,1000,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-9600
9800,0.993,993,1000,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-9800
10000,0.993,993,1000,checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-10000
